ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,WinesAmount,FruitsAmount,MeatAmount,FishAmount,SweetAmount,GoldAmount,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,LastCampaign,Complain,Country,Join_year,Join_month,Join_weekday,Age,Children,Total_Amount,Total_purchase_Count,Total_accepted_campaign,Average_PurchaseAmount
2802,1992,2n Cycle,Married,87000,0,0,2012-12-15,61,196,25,607,67,17,49,1,4,6,7,2,0,0,0,0,0,0,0,Australia,2012,12,5,20,0,961,18,0,53.388888888888886
5113,1971,PhD,Divorced,86979,0,0,2013-07-11,67,584,100,835,65,83,35,1,5,5,5,2,1,0,0,0,0,1,0,Spain,2013,7,3,42,0,1702,16,2,106.375
5830,1972,PhD,Single,86857,0,0,2012-12-09,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,1,0,Saudi Arabia,2012,12,6,40,0,2114,22,1,96.0909090909091
9826,1972,PhD,Single,86857,0,0,2012-12-09,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,1,0,USA,2012,12,6,40,0,2114,22,1,96.0909090909091
7872,1975,PhD,Married,86836,0,0,2012-12-09,7,179,21,273,19,21,63,1,6,10,6,5,1,0,1,1,0,1,0,Spain,2012,12,6,37,0,576,23,4,25.043478260869566
6422,1954,Graduation,Married,86718,0,0,2013-01-17,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,India,2013,1,3,59,0,1270,17,0,74.70588235294117
1964,1951,Graduation,Together,86610,0,0,2013-05-09,66,446,107,768,33,196,53,1,5,6,6,2,0,0,0,0,0,0,0,Spain,2013,5,3,62,0,1603,18,0,89.05555555555556
10742,1983,PhD,Married,86580,0,0,2013-02-27,72,532,21,127,26,20,20,0,4,2,5,1,0,0,1,0,0,0,0,Spain,2013,2,2,30,0,746,11,1,67.81818181818181
10150,1961,Graduation,Single,86429,0,0,2013-11-21,10,464,28,873,29,18,37,0,7,4,7,2,0,0,0,1,0,1,0,Saudi Arabia,2013,11,3,52,0,1449,18,2,80.5
1446,1956,Master,Single,86424,0,0,2014-05-04,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0,0,Saudi Arabia,2014,5,6,58,0,1226,28,0,43.785714285714285
6749,1966,Graduation,Single,86358,1,1,2012-08-08,78,957,47,494,82,47,95,4,5,3,6,8,0,0,0,0,0,0,0,Spain,2012,8,2,46,2,1722,18,0,95.66666666666667
8690,1962,Graduation,Married,86111,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,Canada,2013,4,4,51,0,1385,23,0,60.21739130434783
999,1991,Graduation,Single,86037,0,0,2013-02-01,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,1,0,Canada,2013,2,4,22,0,730,25,3,29.2
1127,1973,PhD,Married,85844,0,0,2014-05-29,62,938,19,843,25,95,38,1,6,6,7,2,0,0,1,0,0,0,0,Spain,2014,5,3,41,0,1958,20,1,97.9
4331,1978,Master,Together,85738,0,0,2014-01-23,41,913,26,376,17,26,13,1,3,6,11,1,0,1,1,0,0,0,0,Spain,2014,1,3,36,0,1371,21,2,65.28571428571429
1031,1989,2n Cycle,Married,85710,0,0,2013-05-05,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,India,2013,5,6,24,0,1062,26,1,40.84615384615385
1745,1962,PhD,Divorced,85696,0,0,2013-03-05,88,714,76,395,116,14,12,1,4,6,9,1,0,0,0,0,0,1,0,Spain,2013,3,1,51,0,1327,20,1,66.35
8015,1962,PhD,Divorced,85696,0,0,2013-03-05,88,714,76,395,116,14,12,1,4,6,9,1,0,0,0,0,0,1,0,Spain,2013,3,1,51,0,1327,20,1,66.35
4518,1979,Graduation,Together,85693,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,Canada,2013,4,5,34,1,1169,27,0,43.2962962962963
8545,1954,Graduation,Divorced,85683,0,0,2014-03-21,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,Spain,2014,3,4,60,0,1789,17,5,105.23529411764706
10955,1964,Graduation,Widow,85620,0,0,2014-07-01,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,1,0,Spain,2014,7,1,50,0,1600,14,1,114.28571428571429
2975,1976,Graduation,Together,85606,0,1,2012-12-11,89,717,42,864,219,30,84,2,6,7,9,3,0,0,0,1,0,0,0,Spain,2012,12,1,36,1,1956,24,1,81.5
9400,1958,2n Cycle,Single,85485,0,0,2014-06-21,73,630,26,611,44,18,54,1,6,6,6,2,0,0,0,0,0,0,0,Spain,2014,6,5,56,0,1383,19,0,72.78947368421052
8584,1952,PhD,Together,85431,0,0,2013-08-06,54,376,53,462,168,53,53,1,2,7,7,0,0,0,0,0,0,0,0,Spain,2013,8,1,61,0,1165,17,0,68.52941176470588
11074,1977,Graduation,Single,85072,0,0,2014-09-04,94,494,92,391,194,11,241,1,3,4,10,0,0,0,0,0,0,0,0,Saudi Arabia,2014,9,3,37,0,1423,18,0,79.05555555555556
6906,1953,Master,Widow,84953,0,0,2013-03-06,73,167,48,602,63,72,72,1,3,10,4,2,0,1,1,1,0,1,0,Spain,2013,3,2,60,0,1024,18,4,56.888888888888886
2088,1972,Graduation,Together,84906,0,0,2013-04-10,98,997,15,414,99,30,76,1,5,6,12,2,0,1,1,0,1,0,0,Germany,2013,4,2,41,0,1631,24,3,67.95833333333333
9757,1972,Graduation,Together,84906,0,0,2013-04-10,98,997,15,414,99,30,76,1,5,6,12,2,0,1,1,0,1,0,0,Spain,2013,4,2,41,0,1631,24,3,67.95833333333333
3725,1961,PhD,Single,84865,0,0,2013-09-05,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,Spain,2013,9,3,52,0,1688,16,5,105.5
1826,1970,Graduation,Divorced,84835,0,0,2014-06-16,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,Spain,2014,6,0,44,0,1190,15,1,79.33333333333333
1966,1965,PhD,Married,84618,0,0,2013-11-22,96,684,100,801,21,66,26,1,6,9,10,2,0,0,1,0,0,0,0,Australia,2013,11,4,48,0,1698,26,1,65.3076923076923
7789,1965,PhD,Married,84618,0,0,2013-11-22,96,684,100,801,21,66,26,1,6,9,10,2,0,0,1,0,0,0,0,Spain,2013,11,4,48,0,1698,26,1,65.3076923076923
6945,1952,Graduation,Single,84574,0,0,2013-04-06,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,Spain,2013,4,5,61,0,1375,32,0,42.96875
1509,1958,PhD,Together,84460,0,0,2013-04-01,80,152,27,103,106,54,81,0,9,9,4,5,0,1,1,1,1,1,0,Spain,2013,4,0,55,0,523,22,5,23.772727272727273
486,1988,Graduation,Married,84219,0,0,2014-02-02,27,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,Canada,2014,2,6,26,0,1198,18,0,66.55555555555556
10981,1988,Graduation,Married,84219,0,0,2014-02-02,27,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,Saudi Arabia,2014,2,6,26,0,1198,18,0,66.55555555555556
10156,1975,Graduation,Single,84196,0,1,2013-03-06,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,Spain,2013,3,2,38,1,1237,20,0,61.85
5547,1982,PhD,Married,84169,0,0,2013-07-08,9,1478,19,403,19,19,26,1,7,6,6,3,0,1,1,0,0,1,0,Spain,2013,7,0,31,0,1964,20,3,98.2
8362,1982,PhD,Married,84169,0,0,2013-07-08,9,1478,19,403,19,19,26,1,7,6,6,3,0,1,1,0,0,1,0,Saudi Arabia,2013,7,0,31,0,1964,20,3,98.2
5721,1956,PhD,Married,84117,0,0,2014-11-05,60,611,76,749,59,45,26,1,7,10,6,2,0,0,1,0,0,0,0,Canada,2014,11,2,58,0,1566,24,1,65.25
8923,1973,Graduation,Single,83917,0,0,2013-04-18,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,1,0,Spain,2013,4,3,40,0,1587,21,1,75.57142857142857
2495,1974,Master,Married,83891,0,1,2014-06-20,24,217,38,350,111,85,15,1,4,7,10,1,0,0,0,0,0,0,0,Spain,2014,6,4,40,1,816,22,0,37.09090909090909
241,1952,Graduation,Together,83844,0,0,2013-12-05,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,Spain,2013,12,3,61,0,1574,20,1,78.7
3560,1952,Graduation,Together,83844,0,0,2013-12-05,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,Germany,2013,12,3,61,0,1574,20,1,78.7
7521,1952,Graduation,Together,83844,0,0,2013-12-05,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,Canada,2013,12,3,61,0,1574,20,1,78.7
10314,1948,PhD,Married,83837,0,0,2012-12-16,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,1,0,India,2012,12,6,64,0,1318,25,3,52.72
3910,1975,Graduation,Divorced,83829,0,0,2013-08-10,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,1,0,Spain,2013,8,5,38,0,1862,17,4,109.52941176470588
5538,1975,Graduation,Divorced,83829,0,0,2013-08-10,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,1,0,Spain,2013,8,5,38,0,1862,17,4,109.52941176470588
6274,1948,Master,Married,83790,0,0,2013-11-15,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,Saudi Arabia,2013,11,4,65,0,1615,25,2,64.6
10286,1962,Graduation,Married,83715,0,0,2014-03-02,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,Saudi Arabia,2014,3,6,52,0,926,24,0,38.583333333333336
9799,1968,PhD,Divorced,83664,1,1,2013-08-05,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,0,Spain,2013,8,0,45,2,1173,19,0,61.73684210526316
1150,1932,PhD,Together,83532,0,0,2013-09-26,36,755,144,562,104,64,224,1,4,6,4,1,0,0,1,0,0,0,0,Spain,2013,9,3,81,0,1853,15,1,123.53333333333333
3005,1992,Graduation,Single,83528,0,0,2014-01-05,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,0,Spain,2014,1,6,22,0,1650,23,3,71.73913043478261
477,1986,Graduation,Married,83512,0,0,2014-06-17,31,1060,61,835,80,20,101,1,4,7,10,1,1,0,1,1,1,1,0,Spain,2014,6,1,28,0,2157,22,5,98.04545454545455
6974,1972,PhD,Together,83443,0,0,2013-12-31,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,0,Germany,2013,12,1,41,0,1497,22,0,68.04545454545455
4974,1970,Graduation,Single,83273,1,2,2012-09-25,98,433,89,650,16,102,102,10,4,6,9,7,0,0,0,0,0,0,0,USA,2012,9,1,42,3,1392,29,0,48.0
4427,1995,2n Cycle,Single,83257,0,0,2012-09-18,56,536,27,590,38,107,67,1,5,10,12,6,1,0,1,0,0,1,1,Spain,2012,9,1,17,0,1365,28,3,48.75
9010,1972,Master,Married,83151,0,0,2013-10-02,80,968,147,842,137,42,210,1,5,7,10,2,1,0,1,1,0,1,0,Spain,2013,10,2,41,0,2346,23,4,102.0
9286,1960,Master,Together,83151,0,0,2012-10-10,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,0,Spain,2012,10,2,52,0,747,19,0,39.31578947368421
5031,1974,Graduation,Together,83145,0,0,2012-09-22,14,777,35,731,39,137,114,1,5,9,11,2,0,0,1,0,0,1,0,Spain,2012,9,5,38,0,1833,26,2,70.5
8931,1986,Graduation,Together,83033,1,0,2014-05-18,82,812,99,431,237,149,33,1,11,4,10,5,0,0,0,1,0,0,0,Saudi Arabia,2014,5,6,28,1,1761,26,1,67.73076923076923
9560,1965,Graduation,Together,83003,0,0,2013-03-03,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,1,0,Spain,2013,3,6,48,0,1674,22,2,76.0909090909091
2114,1946,PhD,Single,82800,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,1,0,USA,2012,11,5,66,0,1315,26,3,50.57692307692308
4261,1946,PhD,Single,82800,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,1,0,Saudi Arabia,2012,11,5,66,0,1315,26,3,50.57692307692308
10163,1984,PhD,Single,82733,0,0,2013-10-09,28,712,50,420,65,38,38,1,8,4,7,4,0,0,0,0,0,1,0,Spain,2013,10,2,29,0,1323,20,1,66.15
9930,1944,PhD,Single,82716,0,0,2013-05-11,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,0,0,Canada,2013,5,5,69,0,1167,28,0,41.67857142857143
1553,1946,Graduation,Together,82657,0,0,2013-09-27,71,966,168,672,246,105,126,1,7,5,10,4,0,1,0,1,0,0,0,Germany,2013,9,4,67,0,2283,23,2,99.26086956521739
1411,1952,Graduation,Divorced,82623,0,0,2013-10-11,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,Spain,2013,10,4,61,0,940,16,0,58.75
1361,1974,Master,Married,82584,0,0,2013-04-06,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,1,0,Spain,2013,4,5,39,0,1435,16,3,89.6875
2225,1977,Graduation,Divorced,82582,0,0,2014-07-06,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,1,0,Australia,2014,7,6,37,0,1617,21,3,77.0
2611,1959,Master,Together,82576,0,0,2012-01-08,66,1206,55,445,168,18,18,1,2,4,12,1,0,0,1,0,0,0,0,Saudi Arabia,2012,1,6,53,0,1910,19,1,100.52631578947368
