ID,Year_Birth,Education,Marital_Status,  Income  ,Kidhome,Teenhome,Dt_Customer,Recency, MntWines , MntFruits , MntMeatProducts , MntFishProducts , MntSweetProducts , MntGoldProds ,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
3334,1951,Graduation,Married," $94,642.00 ",0,0,12/02/2014,35, $879.00 , $143.00 , $797.00 , $106.00 , $143.00 , $143.00 ,0,5,7,9,1,0,0,1,1,0,0,0,Spain
10164,1958,Graduation,Single," $94,472.00 ",0,1,03/04/2014,75," $1,017.00 ", $33.00 , $417.00 , $108.00 , $100.00 , $16.00 ,1,5,5,5,5,0,1,1,0,0,0,0,Spain
5386,1953,Graduation,Together," $94,384.00 ",0,0,04/03/2013,62," $1,111.00 ", $24.00 , $790.00 , $160.00 , $45.00 , $172.00 ,0,5,8,5,2,0,1,1,1,0,1,0,Saudi Arabia
6024,1953,Graduation,Together," $94,384.00 ",0,0,04/03/2013,62," $1,111.00 ", $24.00 , $790.00 , $160.00 , $45.00 , $172.00 ,0,5,8,5,2,0,1,1,1,0,1,0,Spain
10133,1970,Graduation,Single," $93,790.00 ",0,0,12/02/2014,16," $1,302.00 ", $68.00 , $731.00 , $89.00 , $114.00 , $45.00 ,0,6,7,12,2,0,1,1,1,0,1,0,Canada
9499,1954,Graduation,Married," $93,404.00 ",1,2,07/05/2013,97," $1,279.00 ", $15.00 , $287.00 , $20.00 , $-   , $15.00 ,3,3,4,7,5,0,1,1,0,0,0,0,Canada
6932,1941,PhD,Married," $93,027.00 ",0,0,13/04/2013,77," $1,285.00 ", $42.00 , $716.00 , $55.00 , $-   , $21.00 ,0,7,10,5,2,0,0,1,0,0,0,0,Spain
10489,1973,Graduation,Married," $92,955.00 ",0,0,19/08/2013,35, $693.00 , $21.00 , $925.00 , $31.00 , $24.00 , $84.00 ,1,6,7,9,2,0,0,1,1,0,1,0,Saudi Arabia
1340,1986,Graduation,Married," $92,910.00 ",0,0,24/04/2014,42, $551.00 , $137.00 , $792.00 , $179.00 , $103.00 , $33.00 ,1,6,7,13,1,0,1,1,1,0,0,0,Spain
821,1992,Master,Single," $92,859.00 ",0,0,19/10/2012,46, $962.00 , $61.00 , $921.00 , $52.00 , $61.00 , $20.00 ,1,5,4,12,2,0,0,0,0,0,0,0,Canada
5832,1960,2n Cycle,Together," $92,556.00 ",0,0,20/04/2014,32, $493.00 , $183.00 , $352.00 , $184.00 , $23.00 , $28.00 ,0,3,5,13,0,0,0,0,0,0,0,0,Spain
9349,1985,Graduation,Married," $92,533.00 ",0,0,19/12/2013,84, $693.00 , $21.00 , $118.00 , $110.00 , $147.00 , $42.00 ,1,6,5,11,2,0,0,1,1,0,0,0,Germany
1172,1983,PhD,Married," $92,491.00 ",0,0,01/05/2013,71, $979.00 , $44.00 , $935.00 , $29.00 , $25.00 , $22.00 ,1,7,5,12,3,0,1,1,1,0,1,0,Spain
10909,1948,Graduation,Married," $92,344.00 ",0,0,15/01/2014,9, $992.00 , $24.00 , $694.00 , $51.00 , $19.00 , $119.00 ,0,5,10,5,1,1,0,1,0,0,0,0,Australia
7627,1975,Master,Married," $92,163.00 ",0,0,12/12/2012,25, $817.00 , $183.00 , $797.00 , $106.00 , $163.00 , $20.00 ,0,5,11,5,2,0,0,1,1,0,1,0,Spain
6303,1986,PhD,Together," $91,820.00 ",0,0,23/11/2013,72, $410.00 , $73.00 , $747.00 , $76.00 , $161.00 , $30.00 ,0,5,5,12,1,0,0,0,0,0,0,0,Canada
6248,1947,Master,Single," $91,712.00 ",0,0,17/10/2013,47," $1,276.00 ", $24.00 , $746.00 , $94.00 , $29.00 , $48.00 ,0,9,7,11,3,0,0,1,0,0,1,0,Spain
9220,1971,Graduation,Single," $91,700.00 ",0,0,17/01/2013,58, $576.00 , $172.00 , $961.00 , $125.00 , $115.00 , $19.00 ,1,8,6,5,3,0,0,0,0,0,1,0,Spain
3138,1956,Graduation,Single," $91,249.00 ",0,0,20/10/2012,84," $1,324.00 ", $27.00 , $119.00 , $71.00 , $108.00 , $27.00 ,0,7,9,6,4,0,1,1,1,1,1,0,Spain
3520,1990,Master,Single," $91,172.00 ",0,0,27/03/2013,94, $162.00 , $28.00 , $818.00 , $-   , $28.00 , $56.00 ,0,4,3,7,3,1,0,1,1,1,1,0,Canada
4216,1981,Graduation,Single," $91,065.00 ",0,0,22/02/2013,33, $822.00 , $114.00 , $108.00 , $179.00 , $137.00 , $114.00 ,1,7,9,9,3,0,0,1,1,0,1,0,Spain
5558,1954,PhD,Single," $90,933.00 ",0,0,31/03/2014,90," $1,020.00 ", $31.00 , $430.00 , $62.00 , $63.00 , $79.00 ,1,4,6,4,1,0,0,1,0,0,0,0,Spain
5147,1948,Graduation,Single," $90,842.00 ",0,0,29/07/2013,57, $774.00 , $70.00 , $118.00 , $182.00 , $187.00 , $93.00 ,1,4,9,13,1,0,0,0,0,0,0,0,Spain
1592,1970,Graduation,Married," $90,765.00 ",0,0,24/01/2014,25, $547.00 , $99.00 , $812.00 , $151.00 , $82.00 , $33.00 ,0,4,6,5,1,0,0,1,1,0,0,0,Canada
3979,1983,PhD,Divorced," $90,687.00 ",0,0,22/05/2013,98, $982.00 , $17.00 , $672.00 , $23.00 , $34.00 , $51.00 ,1,6,2,8,2,0,0,1,0,0,1,0,Spain
5350,1991,Master,Single," $90,638.00 ",0,0,13/02/2014,29," $1,156.00 ", $120.00 , $915.00 , $94.00 , $144.00 , $96.00 ,1,3,4,10,1,0,0,1,0,0,1,0,Saudi Arabia
5735,1991,Master,Single," $90,638.00 ",0,0,13/02/2014,29," $1,156.00 ", $120.00 , $915.00 , $94.00 , $144.00 , $96.00 ,1,3,4,10,1,0,0,1,0,0,0,0,Spain
1619,1956,Graduation,Married," $90,369.00 ",0,0,28/04/2014,2, $292.00 , $51.00 , $981.00 , $224.00 , $23.00 , $17.00 ,1,4,6,6,1,0,0,0,0,0,1,0,Spain
8318,1979,Graduation,Together," $90,300.00 ",0,0,03/01/2014,7, $594.00 , $134.00 , $786.00 , $33.00 , $134.00 , $57.00 ,0,5,6,8,1,0,0,1,0,0,0,0,Spain
569,1991,Graduation,Single," $90,273.00 ",0,0,14/12/2013,32, $704.00 , $129.00 , $853.00 , $120.00 , $74.00 , $111.00 ,1,5,6,7,2,0,1,1,1,0,1,0,Spain
8029,1988,Master,Single," $90,247.00 ",0,0,29/04/2014,27," $1,184.00 ", $32.00 , $352.00 , $21.00 , $16.00 , $16.00 ,1,3,4,7,1,0,1,1,1,0,1,0,USA
5453,1956,Master,Married," $90,226.00 ",0,0,26/09/2012,26," $1,083.00 ", $108.00 , $649.00 , $253.00 , $151.00 , $108.00 ,1,4,7,12,2,0,0,0,1,0,0,0,Saudi Arabia
10394,1984,Graduation,Married," $90,000.00 ",0,0,23/12/2013,91, $675.00 , $144.00 , $133.00 , $94.00 , $192.00 , $241.00 ,1,4,8,5,1,1,0,1,1,0,0,0,Canada
11101,1991,Graduation,Together," $89,891.00 ",0,0,15/04/2013,17, $412.00 , $22.00 , $132.00 , $59.00 , $28.00 , $183.00 ,1,11,6,8,4,0,0,1,0,0,0,0,Australia
10430,1973,Graduation,Divorced," $89,694.00 ",1,1,09/10/2013,22," $1,126.00 ", $28.00 , $211.00 , $37.00 , $28.00 , $42.00 ,3,4,3,4,5,0,1,1,1,0,0,0,Australia
4418,1983,Master,Single," $89,616.00 ",0,0,25/02/2013,36, $671.00 , $47.00 , $655.00 , $145.00 , $111.00 , $15.00 ,1,7,5,12,2,0,0,0,0,0,1,0,Canada
4947,1966,2n Cycle,Single," $89,572.00 ",0,0,15/09/2012,44, $606.00 , $24.00 , $974.00 , $197.00 , $194.00 , $64.00 ,1,7,7,9,4,0,1,0,1,0,1,0,Spain
6036,1959,Master,Together," $89,120.00 ",0,0,17/03/2014,78," $1,168.00 ", $92.00 , $408.00 , $72.00 , $129.00 , $55.00 ,1,5,6,7,1,0,0,1,0,0,0,0,Spain
10991,1960,Master,Married," $89,058.00 ",0,0,07/12/2012,18, $454.00 , $194.00 , $106.00 , $31.00 , $22.00 , $43.00 ,1,5,4,4,2,0,0,0,0,0,0,0,Canada
3010,1989,Master,Together," $88,420.00 ",0,0,02/05/2014,87, $957.00 , $153.00 , $612.00 , $99.00 , $95.00 , $153.00 ,1,4,7,8,1,1,0,1,1,0,0,0,Spain
6421,1961,Graduation,Together," $88,347.00 ",0,0,03/07/2013,32," $1,050.00 ", $178.00 , $555.00 , $77.00 , $138.00 , $118.00 ,1,4,7,9,1,0,0,0,1,0,0,0,Spain
10469,1981,Graduation,Together," $88,325.00 ",0,0,05/02/2014,42, $519.00 , $71.00 , $860.00 , $93.00 , $27.00 , $53.00 ,1,6,2,9,2,0,0,0,0,0,0,0,India
9369,1979,2n Cycle,Single," $88,194.00 ",0,1,19/03/2014,19, $688.00 , $14.00 , $309.00 , $201.00 , $24.00 , $38.00 ,1,11,10,10,5,1,0,0,1,0,1,0,Germany
2535,1978,Master,Married," $88,097.00 ",1,0,18/08/2012,24, $163.00 , $-   , $480.00 , $-   , $126.00 , $75.00 ,1,6,5,8,9,0,1,1,1,0,1,0,Spain
3174,1959,Graduation,Together," $87,771.00 ",0,1,22/05/2013,61," $1,492.00 ", $38.00 , $287.00 , $50.00 , $57.00 , $33.00 ,1,5,10,4,6,0,1,1,1,1,1,0,Spain
5536,1959,Graduation,Together," $87,771.00 ",0,1,22/05/2013,61," $1,492.00 ", $38.00 , $287.00 , $50.00 , $57.00 , $33.00 ,1,5,10,4,6,0,1,1,1,1,1,0,Canada
1763,1988,Graduation,Together," $87,679.00 ",0,0,27/07/2013,62," $1,259.00 ", $172.00 , $815.00 , $97.00 , $148.00 , $33.00 ,1,7,11,10,4,1,0,1,1,0,1,0,Canada
3619,1960,2n Cycle,Divorced," $87,305.00 ",0,0,23/09/2012,19, $345.00 , $25.00 , $501.00 , $63.00 , $138.00 , $80.00 ,1,5,3,8,2,0,0,1,0,0,1,0,Australia
8908,1959,Graduation,Married," $87,195.00 ",0,0,08/05/2014,35, $217.00 , $76.00 , $690.00 , $50.00 , $26.00 , $38.00 ,1,3,11,5,1,0,0,0,0,0,1,0,Canada
4278,1983,PhD,Single," $87,188.00 ",0,0,03/06/2013,73, $910.00 , $111.00 , $724.00 , $49.00 , $74.00 , $55.00 ,1,10,2,6,3,0,0,0,0,0,1,0,India
4207,1981,PhD,Married," $87,171.00 ",0,0,01/05/2013,27," $1,001.00 ", $44.00 , $107.00 , $58.00 , $44.00 , $44.00 ,1,6,7,11,2,1,0,1,0,0,0,0,Spain
2802,1992,2n Cycle,Married," $87,000.00 ",0,0,15/12/2012,61, $196.00 , $25.00 , $607.00 , $67.00 , $17.00 , $49.00 ,1,4,6,7,2,0,0,0,0,0,0,0,Australia
5113,1971,PhD,Divorced," $86,979.00 ",0,0,07/11/2013,67, $584.00 , $100.00 , $835.00 , $65.00 , $83.00 , $35.00 ,1,5,5,5,2,1,0,0,0,0,1,0,Spain
5830,1972,PhD,Single," $86,857.00 ",0,0,12/09/2012,96, $899.00 , $102.00 , $838.00 , $133.00 , $102.00 , $40.00 ,1,5,6,10,2,0,0,0,0,0,1,0,Saudi Arabia
9826,1972,PhD,Single," $86,857.00 ",0,0,12/09/2012,96, $899.00 , $102.00 , $838.00 , $133.00 , $102.00 , $40.00 ,1,5,6,10,2,0,0,0,0,0,1,0,USA
7872,1975,PhD,Married," $86,836.00 ",0,0,12/09/2012,7, $179.00 , $21.00 , $273.00 , $-   , $21.00 , $63.00 ,1,6,10,6,5,1,0,1,1,0,1,0,Spain
6422,1954,Graduation,Married," $86,718.00 ",0,0,17/01/2013,20, $344.00 , $189.00 , $482.00 , $50.00 , $33.00 , $172.00 ,1,5,6,5,2,0,0,0,0,0,0,0,India
1964,1951,Graduation,Together," $86,610.00 ",0,0,05/09/2013,66, $446.00 , $107.00 , $768.00 , $33.00 , $196.00 , $53.00 ,1,5,6,6,2,0,0,0,0,0,0,0,Spain
10742,1983,PhD,Married," $86,580.00 ",0,0,27/02/2013,72, $532.00 , $21.00 , $127.00 , $26.00 , $20.00 , $20.00 ,0,4,2,5,1,0,0,1,0,0,0,0,Spain
10150,1961,Graduation,Single," $86,429.00 ",0,0,21/11/2013,10, $464.00 , $28.00 , $873.00 , $29.00 , $18.00 , $37.00 ,0,7,4,7,2,0,0,0,1,0,1,0,Saudi Arabia
1446,1956,Master,Single," $86,424.00 ",0,0,05/04/2014,12, $387.00 , $68.00 , $569.00 , $89.00 , $45.00 , $68.00 ,1,6,9,12,1,0,0,0,0,0,0,0,Saudi Arabia
6749,1966,Graduation,Single," $86,358.00 ",1,1,08/08/2012,78, $957.00 , $47.00 , $494.00 , $82.00 , $47.00 , $95.00 ,4,5,3,6,8,0,0,0,0,0,0,0,Spain
8690,1962,Graduation,Married," $86,111.00 ",0,0,19/04/2013,73, $399.00 , $28.00 , $756.00 , $36.00 , $40.00 , $126.00 ,1,5,7,10,2,0,0,0,0,0,0,0,Canada
999,1991,Graduation,Single," $86,037.00 ",0,0,02/01/2013,95, $490.00 , $44.00 , $125.00 , $29.00 , $20.00 , $22.00 ,1,6,7,11,3,0,1,1,0,0,1,0,Canada
1127,1973,PhD,Married," $85,844.00 ",0,0,29/05/2014,62, $938.00 , $19.00 , $843.00 , $25.00 , $95.00 , $38.00 ,1,6,6,7,2,0,0,1,0,0,0,0,Spain
4331,1978,Master,Together," $85,738.00 ",0,0,23/01/2014,41, $913.00 , $26.00 , $376.00 , $17.00 , $26.00 , $13.00 ,1,3,6,11,1,0,1,1,0,0,0,0,Spain
1031,1989,2n Cycle,Married," $85,710.00 ",0,0,05/05/2013,5, $600.00 , $20.00 , $350.00 , $29.00 , $30.00 , $33.00 ,1,6,9,10,2,0,0,1,0,0,0,0,India
1745,1962,PhD,Divorced," $85,696.00 ",0,0,03/05/2013,88, $714.00 , $76.00 , $395.00 , $116.00 , $-   , $12.00 ,1,4,6,9,1,0,0,0,0,0,1,0,Spain
8015,1962,PhD,Divorced," $85,696.00 ",0,0,03/05/2013,88, $714.00 , $76.00 , $395.00 , $116.00 , $-   , $12.00 ,1,4,6,9,1,0,0,0,0,0,1,0,Spain
4518,1979,Graduation,Together," $85,693.00 ",0,1,20/04/2013,59, $386.00 , $172.00 , $183.00 , $185.00 , $132.00 , $111.00 ,2,9,5,11,5,0,0,0,0,0,0,0,Canada
8545,1954,Graduation,Divorced," $85,683.00 ",0,0,21/03/2014,6," $1,296.00 ", $17.00 , $311.00 , $45.00 , $69.00 , $51.00 ,1,2,4,10,1,0,1,1,1,1,1,0,Spain
10955,1964,Graduation,Widow," $85,620.00 ",0,0,07/01/2014,68, $416.00 , $46.00 , $925.00 , $60.00 , $107.00 , $46.00 ,1,3,6,4,1,0,0,0,0,0,1,0,Spain
2975,1976,Graduation,Together," $85,606.00 ",0,1,12/11/2012,89, $717.00 , $42.00 , $864.00 , $219.00 , $30.00 , $84.00 ,2,6,7,9,3,0,0,0,1,0,0,0,Spain
9400,1958,2n Cycle,Single," $85,485.00 ",0,0,21/06/2014,73, $630.00 , $26.00 , $611.00 , $44.00 , $18.00 , $54.00 ,1,6,6,6,2,0,0,0,0,0,0,0,Spain
8584,1952,PhD,Together," $85,431.00 ",0,0,08/06/2013,54, $376.00 , $53.00 , $462.00 , $168.00 , $53.00 , $53.00 ,1,2,7,7,0,0,0,0,0,0,0,0,Spain
11074,1977,Graduation,Single," $85,072.00 ",0,0,09/04/2014,94, $494.00 , $92.00 , $391.00 , $194.00 , $11.00 , $241.00 ,1,3,4,10,0,0,0,0,0,0,0,0,Saudi Arabia
6906,1953,Master,Widow," $84,953.00 ",0,0,03/06/2013,73, $167.00 , $48.00 , $602.00 , $63.00 , $72.00 , $72.00 ,1,3,10,4,2,0,1,1,1,0,1,0,Spain
2088,1972,Graduation,Together," $84,906.00 ",0,0,04/10/2013,98, $997.00 , $15.00 , $414.00 , $99.00 , $30.00 , $76.00 ,1,5,6,12,2,0,1,1,0,1,0,0,Germany
9757,1972,Graduation,Together," $84,906.00 ",0,0,04/10/2013,98, $997.00 , $15.00 , $414.00 , $99.00 , $30.00 , $76.00 ,1,5,6,12,2,0,1,1,0,1,0,0,Spain
3725,1961,PhD,Single," $84,865.00 ",0,0,09/05/2013,1," $1,248.00 ", $16.00 , $349.00 , $43.00 , $16.00 , $16.00 ,1,2,4,9,4,0,1,1,1,1,1,0,Spain
1826,1970,Graduation,Divorced," $84,835.00 ",0,0,16/06/2014,0, $189.00 , $104.00 , $379.00 , $111.00 , $189.00 , $218.00 ,1,4,4,6,1,0,0,0,0,0,1,0,Spain
1966,1965,PhD,Married," $84,618.00 ",0,0,22/11/2013,96, $684.00 , $100.00 , $801.00 , $21.00 , $66.00 , $-   ,1,6,9,10,2,0,0,1,0,0,0,0,Australia
7789,1965,PhD,Married," $84,618.00 ",0,0,22/11/2013,96, $684.00 , $100.00 , $801.00 , $21.00 , $66.00 , $-   ,1,6,9,10,2,0,0,1,0,0,0,0,Spain
6945,1952,Graduation,Single," $84,574.00 ",0,0,04/06/2013,72, $387.00 , $20.00 , $713.00 , $38.00 , $54.00 , $163.00 ,1,9,11,11,5,0,0,0,0,0,0,0,Spain
1509,1958,PhD,Together," $84,460.00 ",0,0,04/01/2013,80, $152.00 , $27.00 , $103.00 , $106.00 , $54.00 , $81.00 ,0,9,9,4,5,0,1,1,1,1,1,0,Spain
486,1988,Graduation,Married," $84,219.00 ",0,0,02/02/2014,27, $434.00 , $137.00 , $400.00 , $45.00 , $137.00 , $45.00 ,1,3,4,10,1,0,0,0,0,0,0,0,Canada
10981,1988,Graduation,Married," $84,219.00 ",0,0,02/02/2014,27, $434.00 , $137.00 , $400.00 , $45.00 , $137.00 , $45.00 ,1,3,4,10,1,0,0,0,0,0,0,0,Saudi Arabia
10156,1975,Graduation,Single," $84,196.00 ",0,1,03/06/2013,56, $215.00 , $63.00 , $507.00 , $231.00 , $31.00 , $190.00 ,1,8,4,7,3,0,0,0,0,0,0,0,Spain
5547,1982,PhD,Married," $84,169.00 ",0,0,07/08/2013,9," $1,478.00 ", $19.00 , $403.00 , $-   , $19.00 , $-   ,1,7,6,6,3,0,1,1,0,0,1,0,Spain
8362,1982,PhD,Married," $84,169.00 ",0,0,07/08/2013,9," $1,478.00 ", $19.00 , $403.00 , $-   , $19.00 , $-   ,1,7,6,6,3,0,1,1,0,0,1,0,Saudi Arabia
5721,1956,PhD,Married," $84,117.00 ",0,0,11/05/2014,60, $611.00 , $76.00 , $749.00 , $59.00 , $45.00 , $26.00 ,1,7,10,6,2,0,0,1,0,0,0,0,Canada
8923,1973,Graduation,Single," $83,917.00 ",0,0,18/04/2013,12, $514.00 , $22.00 , $732.00 , $42.00 , $198.00 , $79.00 ,1,6,7,7,3,0,0,0,0,0,1,0,Spain
2495,1974,Master,Married," $83,891.00 ",0,1,20/06/2014,24, $217.00 , $38.00 , $350.00 , $111.00 , $85.00 , $15.00 ,1,4,7,10,1,0,0,0,0,0,0,0,Spain
241,1952,Graduation,Together," $83,844.00 ",0,0,12/05/2013,57, $901.00 , $31.00 , $345.00 , $75.00 , $31.00 , $191.00 ,1,4,4,11,1,0,0,1,0,0,0,0,Spain
3560,1952,Graduation,Together," $83,844.00 ",0,0,12/05/2013,57, $901.00 , $31.00 , $345.00 , $75.00 , $31.00 , $191.00 ,1,4,4,11,1,0,0,1,0,0,0,0,Germany
7521,1952,Graduation,Together," $83,844.00 ",0,0,12/05/2013,57, $901.00 , $31.00 , $345.00 , $75.00 , $31.00 , $191.00 ,1,4,4,11,1,0,0,1,0,0,0,0,Canada
10314,1948,PhD,Married," $83,837.00 ",0,0,16/12/2012,79, $847.00 , $66.00 , $119.00 , $86.00 , $89.00 , $111.00 ,1,9,10,5,4,0,1,0,1,0,1,0,India
3910,1975,Graduation,Divorced," $83,829.00 ",0,0,08/10/2013,78, $897.00 , $161.00 , $430.00 , $186.00 , $161.00 , $27.00 ,0,4,7,6,1,1,0,1,1,0,1,0,Spain
5538,1975,Graduation,Divorced," $83,829.00 ",0,0,08/10/2013,78, $897.00 , $161.00 , $430.00 , $186.00 , $161.00 , $27.00 ,0,4,7,6,1,1,0,1,1,0,1,0,Spain
6274,1948,Master,Married," $83,790.00 ",0,0,15/11/2013,81," $1,076.00 ", $16.00 , $417.00 , $42.00 , $48.00 , $16.00 ,1,8,10,6,3,0,1,1,0,0,0,0,Saudi Arabia
10286,1962,Graduation,Married," $83,715.00 ",0,0,03/02/2014,2, $318.00 , $8.00 , $407.00 , $150.00 , $35.00 , $8.00 ,1,2,8,13,0,0,0,0,0,0,0,0,Saudi Arabia
9799,1968,PhD,Divorced," $83,664.00 ",1,1,08/05/2013,57, $866.00 , $21.00 , $151.00 , $28.00 , $21.00 , $86.00 ,3,2,2,12,5,0,0,0,0,0,0,0,Spain
1150,1899,PhD,Together," $83,532.00 ",0,0,26/09/2013,36, $755.00 , $144.00 , $562.00 , $104.00 , $64.00 , $224.00 ,1,4,6,4,1,0,0,1,0,0,0,0,Spain
3005,1992,Graduation,Single," $83,528.00 ",0,0,01/05/2014,7, $530.00 , $117.00 , $678.00 , $134.00 , $44.00 , $147.00 ,1,4,10,8,1,1,0,0,1,0,1,0,Spain
477,1986,Graduation,Married," $83,512.00 ",0,0,17/06/2014,31," $1,060.00 ", $61.00 , $835.00 , $80.00 , $20.00 , $101.00 ,1,4,7,10,1,1,0,1,1,1,1,0,Spain
6974,1972,PhD,Together," $83,443.00 ",0,0,31/12/2013,89, $518.00 , $42.00 , $742.00 , $55.00 , $56.00 , $84.00 ,1,6,10,5,2,0,0,0,0,0,0,0,Germany
4974,1970,Graduation,Single," $83,273.00 ",1,2,25/09/2012,98, $433.00 , $89.00 , $650.00 , $16.00 , $102.00 , $102.00 ,10,4,6,9,7,0,0,0,0,0,0,0,USA
4427,1995,2n Cycle,Single," $83,257.00 ",0,0,18/09/2012,56, $536.00 , $27.00 , $590.00 , $38.00 , $107.00 , $67.00 ,1,5,10,12,6,1,0,1,0,0,1,1,Spain
9010,1972,Master,Married," $83,151.00 ",0,0,10/02/2013,80, $968.00 , $147.00 , $842.00 , $137.00 , $42.00 , $210.00 ,1,5,7,10,2,1,0,1,1,0,1,0,Spain
9286,1960,Master,Together," $83,151.00 ",0,0,10/10/2012,93, $407.00 , $28.00 , $100.00 , $120.00 , $74.00 , $18.00 ,1,5,9,4,3,0,0,0,0,0,0,0,Spain
5031,1974,Graduation,Together," $83,145.00 ",0,0,22/09/2012,14, $777.00 , $35.00 , $731.00 , $39.00 , $137.00 , $114.00 ,1,5,9,11,2,0,0,1,0,0,1,0,Spain
8931,1986,Graduation,Together," $83,033.00 ",1,0,18/05/2014,82, $812.00 , $99.00 , $431.00 , $237.00 , $149.00 , $33.00 ,1,11,4,10,5,0,0,0,1,0,0,0,Saudi Arabia
